"","Type","LONGITUDE","LATITUDE"
"159","crash ",-87.83674079,41.966486187
"160","crash ",-87.83674079,41.966486187
"161","crash ",-87.83674079,41.966486187
"162","crash ",-87.836736035,41.978697355
"163","crash ",-87.836735085,41.978807624
"164","crash ",-87.836735085,41.978807624
"165","crash ",-87.836732233,41.97913843
"166","crash ",-87.836730628,41.97932463
"167","crash ",-87.836728826,41.979533576
"168","crash ",-87.836728826,41.979533576
"169","crash ",-87.836728826,41.979533576
"170","crash ",-87.836728826,41.979533576
"171","crash ",-87.836728554,41.981205665
"172","crash ",-87.836728521,41.981515599
"173","crash ",-87.836728407,41.982599555
"174","crash ",-87.836728407,41.982599555
"175","crash ",-87.836728202,41.9845299
"176","crash ",-87.836728103,41.985457534
"177","crash ",-87.836708869,41.979421217
"178","crash ",-87.836613389,41.951940742
"179","crash ",-87.836600074,41.95216005
"180","crash ",-87.836568009,41.950330775
"181","crash ",-87.836550217,41.95926916
"182","crash ",-87.836550217,41.95926916
"183","crash ",-87.836540288,41.955759996
"184","crash ",-87.836522255,41.986275977
"185","crash ",-87.836517756,41.951961863
"186","crash ",-87.836517756,41.951961863
"187","crash ",-87.836502292,41.95122328
"188","crash ",-87.836479481,41.975344403
"189","crash ",-87.836474409,41.976022107
"190","crash ",-87.836468532,41.976636832
"191","crash ",-87.836463809,41.977305944
"192","crash ",-87.836434355,41.980942512
"193","crash ",-87.836434302,41.981428164
"194","crash ",-87.836434302,41.981428164
"195","crash ",-87.836434302,41.981428164
"196","crash ",-87.836434292,41.981523528
"197","crash ",-87.836434284,41.981587105
"198","crash ",-87.836433992,41.984234197
"199","crash ",-87.836433754,41.986382969
"200","crash ",-87.836388815,41.979445243
"201","crash ",-87.836388815,41.979445243
"202","crash ",-87.836365465,41.947182235
"203","crash ",-87.8363646,41.944652836
"204","crash ",-87.8363646,41.944652836
"205","crash ",-87.836359246,41.940338556
"206","crash ",-87.836354902,41.940521746
"207","crash ",-87.836354902,41.940521746
"208","crash ",-87.836353548,41.940578861
"209","crash ",-87.836300284,41.945136591
"210","crash ",-87.836289817,41.944855074
"211","crash ",-87.836289817,41.944855074
"212","crash ",-87.836228159,41.9379341
"213","crash ",-87.836228159,41.9379341
"214","crash ",-87.83620975,41.937638905
"215","crash ",-87.83620975,41.937638905
"216","crash ",-87.83612223,41.940535103
"217","crash ",-87.836001464,41.937670063
"218","crash ",-87.835953708,41.940346336
"219","crash ",-87.835928095,41.937826892
"220","crash ",-87.835412517,41.951963282
"221","crash ",-87.835082971,41.945277812
"222","crash ",-87.835048796,41.93768707
"223","crash ",-87.835032794,41.976377777
"224","crash ",-87.834394626,41.954948348
"225","crash ",-87.833843522,41.945029435
"226","crash ",-87.833695353,41.937702697
"227","crash ",-87.833695353,41.937702697
"228","crash ",-87.833601805,41.940512043
"229","crash ",-87.833170048,41.952038639
"230","crash ",-87.832854985,41.974039612
"231","crash ",-87.832712168,41.985731612
"232","crash ",-87.832594768,41.937884299
"233","crash ",-87.831769728,41.942206576
"234","crash ",-87.83145527,41.944785512
"235","crash ",-87.83130491,41.95206597
"236","crash ",-87.83129065,41.937763765
"237","crash ",-87.830070907,41.937788329
"238","crash ",-87.829947035,41.93779066
"239","crash ",-87.829264509,41.948482017
"240","crash ",-87.829256783,41.946064401
"241","crash ",-87.829180103,41.943451179
"242","crash ",-87.829180103,41.943451179
"243","crash ",-87.828939193,41.938303684
"244","crash ",-87.828812569,41.94236095
"245","crash ",-87.828587632,41.943124958
"246","crash ",-87.828346342,41.952141228
"247"," speed",-87.828316944,41.944873638
"248"," speed",-87.828316944,41.944873638
"249"," speed",-87.828316944,41.944873638
"250"," speed",-87.828316944,41.944873638
"251","crash ",-87.828261144,41.952143355
"252","crash ",-87.8281848,41.98508459
"253","crash ",-87.828040794,41.946437334
"254","crash ",-87.827901426,41.952152321
"255","crash ",-87.827431976,41.952164595
"256"," speed",-87.827378279,41.944318833
"257"," speed",-87.827378279,41.944318833
"258"," speed",-87.827378279,41.944318833
"259"," speed",-87.827378279,41.944318833
"260","crash ",-87.827039837,41.94490726
"261"," speed",-87.826951699,41.945129354
"262"," speed",-87.826951699,41.945129354
"263"," speed",-87.826951699,41.945129354
"264"," speed",-87.826951699,41.945129354
"265","crash ",-87.826843059,41.973921142
"266","crash ",-87.82681659,41.951690951
"267","crash ",-87.826726088,41.949382193
"268","crash ",-87.826713197,41.949065931
"269","crash ",-87.826712389,41.944623454
"270","crash ",-87.826559837,41.945231182
"271","crash ",-87.826447724,41.944923307
"272","crash ",-87.826335395,41.941426291
"273","crash ",-87.82551147,41.945133447
"274","crash ",-87.825151048,41.984650919
"275","crash ",-87.825142463,41.945177168
"276","crash ",-87.824263343,41.944208314
"277","crash ",-87.824174162,41.974211155
"278","crash ",-87.823983204,41.944549792
"279","crash ",-87.823587254,41.981401082
"280","crash ",-87.823158647,41.984666144
"281","crash ",-87.822691342,41.937925071
"282","crash ",-87.822597291,41.988833876
"283","crash ",-87.822520229,41.984290519
"284","crash ",-87.822230641,41.945264816
"285","crash ",-87.821995657,41.97420844
"286","crash ",-87.821930457,41.946642369
"287","crash ",-87.821910996,41.952303019
"288","crash ",-87.821829976,41.944844935
"289","crash ",-87.821752338,41.945276892
"290","crash ",-87.821471607,41.937948981
"291","crash ",-87.821406524,41.996320125
"292","crash ",-87.821379959,41.996961843
"293","crash ",-87.821294673,41.983128679
"294","crash ",-87.821279434,41.99674605
"295","crash ",-87.821200094,42.002871935
"296","crash ",-87.821093034,42.00768003
"297","crash ",-87.821018313,41.984314176
"298","crash ",-87.820845725,41.996020985
"299","crash ",-87.820837961,41.997948486
"300","crash ",-87.820820943,41.939641408
"301","crash ",-87.82048418,41.983133502
"302","crash ",-87.820404627,42.005325566
"303","crash ",-87.819738259,41.945325656
"304","crash ",-87.819455687,41.991861244
"305","crash ",-87.819389544,41.983049178
"306","crash ",-87.819293073,41.952375161
"307","crash ",-87.819293073,41.952375161
"308","crash ",-87.819172558,41.981849313
"309","crash ",-87.819117265,42.013110478
"310","crash ",-87.819093155,41.997025513
"311","crash ",-87.819045368,41.974122378
"312","crash ",-87.819035457,41.945342807
"313","crash ",-87.819027933,41.937998275
"314","crash ",-87.818872105,42.013115445
"315","crash ",-87.818851244,42.001972674
"316","crash ",-87.818851244,42.001972674
"317","crash ",-87.818770522,42.004366133
"318","crash ",-87.818576824,41.945134703
"319","crash ",-87.818485755,42.004399261
"320","crash ",-87.818458715,41.996820861
"321","crash ",-87.818343779,42.011524491
"322","crash ",-87.818242401,41.99682615
"323","crash ",-87.818236125,41.952393163
"324","crash ",-87.818201208,41.974363573
"325","crash ",-87.818137133,41.951976421
"326","crash ",-87.818098093,41.99704968
"327","crash ",-87.818068862,41.945146782
"328","crash ",-87.817949272,42.01153219
"329","crash ",-87.817945357,41.945147852
"330","crash ",-87.817908984,41.938516193
"331","crash ",-87.817777136,41.973397884
"332","crash ",-87.817686554,42.002731664
"333","crash ",-87.817665501,42.003277208
"334","crash ",-87.817642826,42.004356571
"335","crash ",-87.817616801,42.001149669
"336","crash ",-87.817612135,42.000022496
"337","crash ",-87.81741193,42.010845445
"338","crash ",-87.817196625,41.951995857
"339","crash ",-87.817038632,41.97737079
"340","crash ",-87.816989551,41.980745552
"341","crash ",-87.816965307,41.985189696
"342","crash ",-87.816963884,41.949266317
"343","crash ",-87.816926911,41.945244883
"344","crash ",-87.816925853,42.003923936
"345","crash ",-87.816918316,41.949026698
"346","crash ",-87.816879479,41.983648245
"347","crash ",-87.816834202,41.950248001
"348","crash ",-87.816818465,41.945294407
"349","crash ",-87.816804703,41.996864241
"350","crash ",-87.816778671,41.990504152
"351","crash ",-87.816751801,41.948601639
"352","crash ",-87.816750584,42.003738578
"353","crash ",-87.81672182,42.002043562
"354","crash ",-87.816439787,42.003103877
"355","crash ",-87.816281922,42.008071306
"356","crash ",-87.816274668,41.93525633
"357","crash ",-87.81612135,41.938059081
"358","crash ",-87.815996048,41.93443086
"359","crash ",-87.81577943,42.002934646
"360","crash ",-87.815666404,41.990204104
"361","crash ",-87.815429259,41.95000474
"362","crash ",-87.815380972,42.002432607
"363","crash ",-87.815233703,41.937848119
"364","crash ",-87.815215542,42.006130955
"365","crash ",-87.815151511,41.93806812
"366","crash ",-87.815085642,41.936057405
"367","crash ",-87.81507914,42.002241998
"368","crash ",-87.815016577,42.011601868
"369","crash ",-87.814993039,41.997130169
"370","crash ",-87.814979409,41.937849832
"371","crash ",-87.814952725,42.00216211
"372","crash ",-87.814945203,42.011384197
"373","crash ",-87.814682763,42.001703623
"374","crash ",-87.814425317,42.002722441
"375","crash ",-87.81440018,41.945228725
"376","crash ",-87.81440018,41.945228725
"377","crash ",-87.81431958,42.011620488
"378","crash ",-87.81422685,41.938048604
"379","crash ",-87.814210666,41.989465799
"380","crash ",-87.814137668,41.938076444
"381","crash ",-87.814034518,42.001292382
"382","crash ",-87.813947911,41.950457306
"383","crash ",-87.813847302,41.938076639
"384","crash ",-87.81384145,42.001169761
"385","crash ",-87.813738561,41.997162434
"386","crash ",-87.813630975,42.01141996
"387","crash ",-87.813630975,42.01141996
"388","crash ",-87.81352656,41.982806333
"389","crash ",-87.813520243,42.000965251
"390","crash ",-87.813419669,41.988797442
"391","crash ",-87.813235055,42.004118513
"392","crash ",-87.813235055,42.004118513
"393","crash ",-87.813171746,41.937861611
"394","crash ",-87.813047181,41.945036676
"395","crash ",-87.812977912,41.988575183
"396","crash ",-87.812977912,41.988575183
"397","crash ",-87.812977912,41.988575183
"398","crash ",-87.812915953,41.982729051
"399","crash ",-87.812912308,41.937863583
"400","crash ",-87.81283354,42.016016232
"401","crash ",-87.81270254,41.937888923
"402","crash ",-87.81241318,42.008929249
"403","crash ",-87.812193231,42.011458039
"404","crash ",-87.812157496,41.95254355
"405","crash ",-87.812134793,41.945056197
"406","crash ",-87.812040361,41.998191195
"407","crash ",-87.812035456,41.982856673
"408","crash ",-87.811917851,41.951766834
"409","crash ",-87.811892825,41.945280002
"410","crash ",-87.811874657,41.988290632
"411","crash ",-87.811773348,41.937837634
"412","crash ",-87.811770104,41.942258537
"413","crash ",-87.8116578,42.011673848
"414","crash ",-87.811586817,41.980954342
"415","crash ",-87.811572497,41.934524703
"416","crash ",-87.811571674,42.011693335
"417","crash ",-87.811346884,41.974542948
"418","crash ",-87.811346884,41.974542948
"419","crash ",-87.811346884,41.974542948
"420","crash ",-87.811346884,41.974542948
"421","crash ",-87.811346884,41.974542948
"422","crash ",-87.811315201,41.93809359
"423","crash ",-87.811253227,41.938093892
"424","crash ",-87.811110934,41.951892674
"425","crash ",-87.810873791,41.945078921
"426","crash ",-87.810538897,41.938399908
"427","crash ",-87.810520799,41.997078767
"428","crash ",-87.810520799,41.997078767
"429","crash ",-87.810438182,41.938099377
"430","crash ",-87.810413482,41.997014586
"431","crash ",-87.810413482,41.997014586
"432","crash ",-87.810412969,41.997234117
