"","POSTED_SPEED_LIMIT","STREET_NAME","LATITUDE","LONGITUDE","Type","regions","distances"
"81",30,"DR MARTIN LUTHER KING JR DR",41.736455046,-87.614672913,"crash","036","1.7"
"82",30,"MICHIGAN AVE",41.682386446,-87.620799536,"crash","045","2.5"
"83",30,"GLADYS AVE",41.875994576,-87.731373972,"crash","163","1.1"
"84",30,"LE MOYNE ST",41.907690795,-87.74617733,"crash","044","1.8"
"85",20,"HUDSON AVE",41.921004737,-87.640189296,"crash","139","2.9"
"86",0,"STONY ISLAND AVE",41.791639539,-87.586857747,"crash","013","2.2"
"87",30,"VAN BUREN ST",41.876089738,-87.696217119,"crash","122","0.7"
"88",30,"CICERO AVE",41.771044801,-87.741905632,"crash","061","3"
"89",30,"WESTERN AVE",41.881118279,-87.686283339,"crash","122","1.9"
"90",30,"LAMON AVE",41.92511434,-87.748662636,"crash","044","0.1"
"91",30,"LARAMIE AVE",41.906132141,-87.756013077,"crash","043","1.5"
"92",30,"DEARBORN ST",41.889144935,-87.629436578,"crash","131","0.7"
"93",30,"FULLERTON AVE",41.92494135,-87.69500315,"crash","026","2.4"
"94",25,"34TH ST",41.832400913,-87.669360988,"crash","144","0.3"
"95",25,"34TH ST",41.832399793,-87.669439567,"crash","144","0.4"
"96",30,"ARMITAGE AVE",41.91750316,-87.685053483,"crash","127","1.5"
"97",30,"PULASKI RD",41.874543916,-87.7253033,"crash","163","0.7"
"98",30,"HALSTED ST",41.772520371,-87.644451656,"crash","136","2.1"
"99",30,"WESTERN AVE",41.951894935,-87.688553768,"crash","027","0.6"
"100",30,"BELMONT AVE",41.940241193,-87.639639114,"crash","095","2.6"
"101",30,"MILWAUKEE AVE",41.978036516,-87.770078549,"crash","102","1.1"
"102",30,"90TH ST",41.730987504,-87.609728781,"crash","036","1.6"
"103",30,"LAKE SHORE DR NB",41.93976585,-87.637784023,"crash","095","2.8"
"104",30,"GARFIELD BLVD",41.794025459,-87.674363508,"crash","100","1.4"
"105",30,"LARAMIE AVE",41.935100791,-87.756411546,"crash","042","1.4"
"106",30,"MICHIGAN AVE",41.67618407,-87.620603077,"crash","045","2"
"107",30,"PULASKI RD",41.817316238,-87.72405929,"crash","030","1.5"
"108",30,"HALSTED ST",41.707231954,-87.642990337,"crash","035","2.8"
"109",35,"WESTERN AVE",41.846495443,-87.685634247,"crash","110","0.6"
"110",30,"DIVISION ST",41.90372147,-87.635994565,"crash","133","1.1"
"111",30,"MILWAUKEE AVE",41.89974012,-87.661047479,"crash","112","1.5"
"112",25,"WALLACE ST",41.819036937,-87.640793856,"crash","117","2.4"
"113",30,"LEAVITT ST",41.881977938,-87.681391039,"crash","076","1.6"
"114",35,"LARAMIE AVE",41.933797497,-87.756655975,"crash","042","1.2"
"115",35,"PULASKI RD",41.833270194,-87.724418645,"crash","030","3.3"
"116",30,"MICHIGAN AVE",41.852932179,-87.623960624,"crash","033","2.3"
"117",30,"KILDARE AVE",41.945074208,-87.734897709,"crash","086","1.1"
"118",30,"CICERO AVE",41.687161174,-87.739432514,"crash","048","2.5"
"119",20,"CLARK ST",41.903992333,-87.631594895,"crash","139","0.8"
"120",30,"99TH ST",41.714146557,-87.657165438,"crash","023","2.6"
"121",30,"DEVON AVE",41.997130169,-87.814993039,"crash","158","3.1"
"122",30,"47TH ST",41.808073054,-87.716296412,"crash","032","0.8"
"123",30,"LOWER MICHIGAN AVE",41.887845762,-87.624742791,"crash","125","0.5"
"124",30,"FULLERTON AVE",41.924567031,-87.729284667,"crash","177","0.9"
"125",30,"CICERO AVE",41.957114134,-87.747563559,"crash","147","1.2"
"126",30,"87TH ST",41.736376037,-87.625621311,"crash","036","1.6"
"127",30,"SHERIDAN RD",41.987151603,-87.655442986,"crash","093","1.4"
"128",15,"WABASH AVE",41.765395843,-87.623147747,"crash","063","1.3"
"129",30,"CICERO AVE",41.782453592,-87.742563194,"crash","061","2.2"
"130",30,"CENTRAL AVE",42.001761546,-87.762396762,"crash","114","1.9"
"131",30,"HYDE PARK BLVD",41.802253482,-87.596944807,"crash","013","1.1"
"132",30,"CORCORAN PL",41.88724845,-87.772094199,"crash","058","1.1"
"133",35,"CICERO AVE",41.690493863,-87.739576596,"crash","048","2.4"
"134",30,"KEDZIE AVE",41.79529335,-87.703758272,"crash","167","0.1"
"135",30,"CARPENTER ST",41.895033167,-87.653423322,"crash","077","1.7"
"136",30,"MARQUETTE RD",41.771368868,-87.732390493,"crash","061","2.5"
"137",15,"COLUMBUS DR",41.886373138,-87.62054303,"crash","124","0.4"
"138",30,"MONTROSE AVE",41.96152548,-87.6659003,"crash","097","1.1"
"139",30,"STONY ISLAND AVE",41.765928192,-87.586470078,"crash","138","1.1"
"140",30,"MENARD AVE",41.919576302,-87.770550416,"crash","041","0.8"
"141",15,"LARAMIE AVE",41.962087384,-87.757582239,"crash","103","0.9"
"142",35,"STATE ST",41.772529962,-87.624976228,"crash","146","1"
"143",30,"ASHLAND AVE",41.94707937,-87.669007299,"crash","172","0.9"
"144",30,"FULLERTON PKWY",41.925695297,-87.64041418,"crash","091","3"
